period,views,visitors,likes,comments,post_titles,
2014-06-20,0,0,0,0,[u'About', u'Projects: Smart Watch \u2013 Intro', u'Project: Smart Watch \u2013 Basic Testing and Software', u'Projects: Smart Watch \u2013 Power', u'Project: Smart Watch \u2013 Basic Layout', u'Project: Smart Watch \u2013 Circuit Board'],
2014-06-21,0,0,0,0,[],
2014-06-22,1,1,1,0,[u'Project: Smart Watch \u2013 PCB Paper Mockup', u'Project: Smart Watch \u2013 First Thoughts on Case'],
2014-06-23,0,0,0,0,[u'Project: Smart Watch \u2013 Making PCB + Destroying PCB (oops)'],
2014-06-24,1,1,6,0,[u'Project: Smart Watch \u2013 Making PCB and Successful Soldering :)'],
2014-06-25,0,0,0,0,[],
2014-06-26,0,0,0,0,[],
2014-06-27,0,0,0,0,[],
2014-06-28,1,1,0,0,[],
2014-06-29,0,0,0,0,[],
2014-06-30,0,0,0,0,[],
2014-07-01,1,1,0,0,[],
2014-07-02,0,0,0,0,[],
2014-07-03,0,0,0,0,[],
2014-07-04,0,0,0,0,[],
2014-07-05,2,2,0,0,[],
2014-07-06,0,0,0,0,[u'Project: Smart Watch \u2013 Main Circuitry complete'],
2014-07-07,0,0,0,0,[],
2014-07-08,0,0,0,0,[],
2014-07-09,1,1,0,0,[],
2014-07-10,0,0,0,0,[],
2014-07-11,1,1,0,0,[],
2014-07-12,0,0,0,0,[],
2014-07-13,0,0,0,0,[],
2014-07-14,0,0,0,0,[],
2014-07-15,0,0,0,0,[],
2014-07-16,0,0,0,0,[],
2014-07-17,0,0,0,0,[],
2014-07-18,0,0,0,0,[],
2014-07-19,2,1,0,0,[u'Project: Smart Watch \u2013 Case First Attempt Part 1'],
2014-07-20,23,3,0,2,[u'Project: Smart Watch \u2013 Case First Attempt Part 2'],
2014-07-21,2,1,0,0,[],
2014-07-22,1,1,0,0,[u'Project: Smart Watch \u2013 Batteries'],
2014-07-23,0,0,1,0,[],
2014-07-24,2,1,0,0,[],
2014-07-25,0,0,0,0,[],
2014-07-26,0,0,0,0,[],
2014-07-27,0,0,0,0,[],
2014-07-28,3,2,2,2,[u'Project: Smart Watch \u2013 Disaster (I thought)', u'Project: Smart Watch \u2013 Coming Together'],
2014-07-29,4,3,1,0,[],
2014-07-30,0,0,0,0,[],
2014-07-31,0,0,0,0,[],
2014-08-01,0,0,0,0,[u'Project: Smart Watch \u2013 Testing'],
2014-08-02,2,2,0,0,[],
2014-08-03,3,1,0,0,[],
2014-08-04,1,1,0,0,[],
2014-08-05,0,0,0,0,[],
2014-08-06,9,1,0,0,[],
2014-08-07,2,1,0,0,[],
2014-08-08,1,1,0,0,[u'Project: PCB Mill CNC \u2013 Introduction'],
2014-08-09,0,0,0,0,[u'Project: PCB Mill CNC \u2013 First Steps'],
2014-08-10,3,2,0,0,[u'Project: PCB Mill CNC \u2013 Testing the Motor Driver'],
2014-08-11,1,1,0,0,[],
2014-08-12,0,0,0,0,[],
2014-08-13,0,0,0,0,[],
2014-08-14,1,1,0,0,[],
2014-08-15,0,0,0,0,[],
2014-08-16,0,0,0,0,[],
2014-08-17,0,0,0,0,[],
2014-08-18,8,1,0,0,[],
2014-08-19,1,1,0,0,[],
2014-08-20,0,0,0,0,[u'Project: PCB Mill CNC \u2013 3D Model'],
2014-08-21,1,1,1,0,[],
2014-08-22,0,0,0,0,[],
2014-08-23,0,0,0,0,[],
2014-08-24,0,0,0,0,[],
2014-08-25,0,0,0,0,[],
2014-08-26,1,1,0,0,[],
2014-08-27,0,0,0,0,[],
2014-08-28,1,1,0,0,[],
2014-08-29,2,2,0,0,[],
2014-08-30,0,0,0,0,[],
2014-08-31,0,0,0,0,[],
2014-09-01,0,0,0,0,[],
2014-09-02,0,0,0,0,[],
2014-09-03,1,1,0,0,[],
2014-09-04,0,0,0,0,[],
2014-09-05,0,0,0,0,[],
2014-09-06,1,1,0,0,[],
2014-09-07,0,0,0,0,[],
2014-09-08,0,0,0,0,[],
2014-09-09,0,0,0,0,[],
2014-09-10,0,0,0,0,[],
2014-09-11,0,0,0,0,[],
2014-09-12,3,1,0,0,[],
2014-09-13,0,0,0,0,[],
2014-09-14,0,0,0,0,[],
2014-09-15,4,4,0,0,[],
2014-09-16,1,1,0,0,[],
2014-09-17,0,0,0,0,[],
2014-09-18,0,0,0,0,[],
2014-09-19,2,1,0,0,[],
2014-09-20,1,1,0,0,[],
2014-09-21,11,1,0,0,[],
2014-09-22,0,0,0,0,[],
2014-09-23,0,0,0,0,[],
2014-09-24,0,0,0,0,[],
2014-09-25,0,0,0,0,[],
2014-09-26,0,0,0,0,[],
2014-09-27,0,0,0,0,[],
2014-09-28,0,0,0,0,[],
2014-09-29,1,1,0,0,[],
2014-09-30,1,1,0,0,[],
2014-10-01,2,1,0,0,[],
2014-10-02,3,1,0,0,[],
2014-10-03,0,0,0,0,[],
2014-10-04,0,0,0,0,[],
2014-10-05,0,0,0,0,[],
2014-10-06,0,0,0,0,[],
2014-10-07,1,1,0,0,[],
2014-10-08,6,2,0,0,[],
2014-10-09,1,1,0,0,[],
2014-10-10,0,0,0,0,[u'Project: PCB Mill CNC \u2013 Built'],
2014-10-11,5,3,1,0,[],
2014-10-12,2,2,0,0,[],
2014-10-13,1,1,0,0,[],
2014-10-14,2,2,0,0,[],
2014-10-15,0,0,0,0,[],
2014-10-16,0,0,0,0,[],
2014-10-17,0,0,0,0,[],
2014-10-18,2,2,0,0,[],
2014-10-19,0,0,0,0,[],
2014-10-20,5,4,0,0,[],
2014-10-21,16,1,0,0,[],
2014-10-22,0,0,0,0,[],
2014-10-23,0,0,0,0,[],
2014-10-24,0,0,0,0,[],
2014-10-25,1,1,0,0,[],
2014-10-26,0,0,0,0,[],
2014-10-27,0,0,0,0,[],
2014-10-28,0,0,0,0,[],
2014-10-29,1,1,0,0,[],
2014-10-30,0,0,0,0,[],
2014-10-31,0,0,0,0,[],
2014-11-01,1,1,0,0,[],
2014-11-02,1,1,0,0,[],
2014-11-03,0,0,0,0,[],
2014-11-04,0,0,0,0,[],
2014-11-05,4,1,0,0,[],
2014-11-06,1,1,0,0,[],
2014-11-07,1,1,0,0,[],
2014-11-08,0,0,0,0,[],
2014-11-09,0,0,0,0,[],
2014-11-10,0,0,0,0,[],
2014-11-11,0,0,0,0,[],
2014-11-12,4,2,0,0,[],
2014-11-13,2,2,1,0,[u'Mini-Project: Android App \u2013 Make The Number!'],
2014-11-14,1,1,0,0,[],
2014-11-15,0,0,0,0,[],
